CoffeeID,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
10,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,Unknown,Unknown,Unknown,fahem coffee plantation,1855-1955,oromia,Fahem Coffee Plantation,300,60.0,METAD Agricultural Development plc,2014-01-01,2015-03-27,Mohammed Lalo,Unknown,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,Unknown,1,2016-03-26,METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1855.0,1955.0,1905.0
11,Arabica,cqi q coffee sample representative,United States,el filo,Unknown,Unknown,unknown,coffee quality institute,meters above sea level: 1.872,antioquia,Alfredo De Jesús López Pérez,10,1.0,Almacafé,2014-01-01,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1872.0,1872.0,1872.0
12,Arabica,cqi q coffee sample representative,United States,los cedros,Unknown,Unknown,unknown,coffee quality institute,meters above sea level: 1.943,antioquia,Jorge Walter Restrepo,10,1.0,Almacafé,2014-01-01,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1943.0,1943.0,1943.0
13,Arabica,grounds for health admin,United States (Hawaii),arianna farms,Unknown,Unknown,Unknown,Unknown,2000 ft,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,,2010-05-31,Grounds for Health Admin,Unknown,Unknown,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0,0.0,Unknown,2,2011-05-31,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,609.6,609.6,609.6
14,Arabica,ethiopia commodity exchange,Ethiopia,aolme,Unknown,c.p.w.e,010/0338,Unknown,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60.0,Ethiopia Commodity Exchange,2010-03-01,2010-08-31,Ethiopia Commodity Exchange,Unknown,Unknown,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,Unknown,2,2011-08-31,Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,1570.0,1700.0,1635.0
15,Arabica,cqi q coffee sample representative,United States,el águila,Unknown,Unknown,unknown,coffee quality institute,meters above sea level: 2.080,antioquia,María Leticia Diosa,10,1.0,Almacafé,2014-01-01,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2080.0,2080.0,2080.0
16,Arabica,grounds for health admin,Indonesia,toarco jaya,Unknown,Unknown,Unknown,Unknown,1200-1800m,sulawesi,P.T. Toarco Jaya,1,2.0,Specialty Coffee Association,,2010-05-31,Grounds for Health Admin,Unknown,Unknown,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,Unknown,0,2011-05-31,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200.0,1800.0,1500.0
17,Arabica,ethiopia commodity exchange,Ethiopia,Unknown,Unknown,Unknown,010/0056,Unknown,Unknown,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,,2010-06-16,Ethiopia Commodity Exchange,Unknown,Unknown,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0.0,Unknown,2,2011-06-16,Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,Unknown,Unknown,Unknown
18,Arabica,yunnan coffee exchange,China,echo coffee,YNC-06114,echo coffee mill,Unknown,yunnan coffee exchange,1450,yunnan,Echo Coffee,3,60.0,Yunnan Coffee Exchange,2015-01-01,2016-04-07,Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,Green,0,2017-04-07,Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1450.0,1450.0,1450.0
19,Arabica,essencecoffee,Ethiopia,drima zede,Unknown,drima zede,100181006,essence coffee,1700-2000m,gedio,LevelUp,250,60.0,Blossom Valley International,2014-01-01,2015-03-25,EssenceCoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,0,0.0,Unknown,8,2016-03-24,Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1700.0,2000.0,1850.0
20,Arabica,cqi q coffee sample representative,United States,el rodeo,Unknown,Unknown,unknown,coffee quality institute,meters above sea level: 2.019,antioquia,Nicolás Rueda Urrego,10,1.0,Almacafé,2014-01-01,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,0,0.0,None,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2019.0,2019.0,2019.0
21,Arabica,the coffee source inc.,Costa Rica,several,Unknown,cafe altura de san ramon,5-562-0015,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,1.360776,Specialty Coffee Association,2014-01-01,2014-04-02,The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,Green,2,2015-04-02,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300.0,1300.0,1300.0
22,Arabica,roberto licona franco,Mexico,la herradura,Unknown,la herradura,0,Unknown,1320,xalapa,ROBERTO LICONA FRANCO,14,1.0,AMECAFE,2012-01-01,2012-07-26,ROBERTO LICONA FRANCO,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,2013-07-26,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1320.0,1320.0,1320.0
23,Arabica,cqi q coffee sample representative,United States,la curva,Unknown,Unknown,unknown,coffee quality institute,meters above sea level: 2.112,antioquia,Silvia Elena Higuita,10,1.0,Almacafé,2014-01-01,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2112.0,2112.0,2112.0
24,Arabica,ji-ae ahn,Ethiopia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,sidamo,Unknown,100,60.0,Specialty Coffee Institute of Asia,2013-01-01,2013-09-03,Ji-Ae Ahn,Unknown,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,Bluish-Green,1,2014-09-03,Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,Unknown,Unknown,Unknown
25,Arabica,nucoffee,Brazil,fazenda kaquend,Unknown,Unknown,002/1251/0073,nucoffee,1250m,south of minas,Ralph Junqueira,3,60.0,NUCOFFEE,2011-01-01,2011-12-03,NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,Green,2,2012-12-02,NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0
26,Arabica,ethiopia commodity exchange,Ethiopia,Unknown,Unknown,Unknown,010/0056/Sidamo,Unknown,Unknown,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,,2010-06-16,Ethiopia Commodity Exchange,Unknown,Unknown,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0.0,Unknown,2,2011-06-16,Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,Unknown,Unknown,Unknown
27,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,Unknown,kabum trading company,0,kabum trading company,1950,kapchorwa eastern,Kabum trading company,100,60.0,Uganda Coffee Development Authority,2013-01-01,2014-06-26,Kabum Trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,Green,1,2015-06-26,Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1950.0,1950.0,1950.0
28,Arabica,bismarck castro,Honduras,los hicaques,102,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69.0,Instituto Hondureño del Café,2016-01-01,2017-05-18,Bismarck Castro,Caturra,Unknown,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,Green,3,2018-05-18,Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1400.0,1400.0,1400.0
29,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Sumatra Typica,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50.0,Specialty Coffee Association,2015-01-01,2016-05-18,"Lin, Che-Hao Krude 林哲豪",Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,Green,0,2017-05-18,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200.0,1200.0,1200.0
30,Arabica,nora zeas,Nicaragua,Unknown,Unknown,beneficio atlantic condega,790-0013,Unknown,Unknown,Unknown,Unknown,275,6,Specialty Coffee Association,,2010-05-18,Nora Zeas,Unknown,Unknown,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,Unknown,2,2011-05-18,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,Unknown,Unknown,Unknown
31,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",Unknown,Unknown,Unknown,A019116,Unknown,Unknown,Unknown,Unknown,100,60.0,Specialty Coffee Institute of Asia,2012-01-01,2013-09-03,Specialty Coffee-Korea,Unknown,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,Bluish-Green,1,2014-09-03,Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,Unknown,Unknown,Unknown
32,Arabica,nucoffee,Brazil,fazenda recreio,Unknown,Unknown,002/1251/0068,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,29,60.0,NUCOFFEE,2011-01-01,2011-12-03,NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,Green,2,2012-12-02,NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1300.0,1300.0,1300.0
33,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,Unknown,"exclusive coffees s.a,",5818009,exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,250,0.907184,Specialty Coffee Association of Costa Rica,,2015-12-03,Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,Blue-Green,0,2016-12-02,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300.0,1300.0,1300.0
34,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,Unknown,faysal abamecha processing plant at yebu town,2014/15,haider abamecha coffee export,1750-1800,oromia,Haider Abamecha Abadiko,320,60.0,METAD Agricultural Development plc,2014-01-01,2015-03-27,Hider Abamecha,Unknown,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,Green,3,2016-03-26,METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1750.0,1800.0,1775.0
35,Arabica,daniel magu,Kenya,kangunu,Unknown,central kenya coffee mills,0,c dorman ltd,1800,muranga,Kangunu,320,1.0,Kenya Coffee Traders Association,2013-01-01,2014-05-30,Daniel Magu,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,Blue-Green,1,2015-05-30,Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800.0,1800.0,1800.0
36,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,220452,kona pacific farmers cooperative,Unknown,kona,Unknown,10,45.3592,Specialty Coffee Association,2012-01-01,2012-04-06,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,Unknown,4,2013-04-06,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
37,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,Unknown,Unknown,HDOA 210128 Kona Fancy,Unknown,Unknown,kona,Kona Pacific Farmers Co-Op,25,45.3592,Specialty Coffee Association,2010-01-01,2011-01-28,Kona Pacific Farmers Cooperative,Unknown,Unknown,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,2,0.0,Unknown,1,2012-01-28,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,Unknown,Unknown,Unknown
38,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",Unknown,Unknown,010/0170,Unknown,Unknown,yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,,2010-06-17,Ethiopia Commodity Exchange,Unknown,Unknown,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0.0,Unknown,2,2011-06-17,Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,Unknown,Unknown,Unknown
39,Arabica,cqi q coffee sample representative,United States,la primavera,Unknown,Unknown,unknown,coffee quality institute,meters above sea level: 1.941,antioquia,Hugo Sepúlveda Montoya,10,1.0,Almacafé,2014-01-01,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1941.0,1941.0,1941.0
40,Arabica,itdp international,Thailand,co-op #12,Unknown,Unknown,01-011-512,lanna cafe,1300,chiang rai,ITDP,53,1.0,Specialty Coffee Association,2012-01-01,2012-04-12,ITDP International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,Green,9,2013-04-12,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300.0,1300.0,1300.0
41,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,Unknown,cocarive,002/1352/0045,Unknown,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60.0,Specialty Coffee Association,2010-01-01,2011-01-04,Jacques Pereira Carneiro,Yellow Bourbon,Unknown,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,Unknown,2,2012-01-04,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,12.0,12.0,12.0
42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,Unknown,cocarive,002/1352/0045,Unknown,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60.0,Specialty Coffee Association,2010-01-01,2011-01-04,Jacques Pereira Carneiro,Yellow Bourbon,Unknown,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0.0,Unknown,3,2012-01-04,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,12.0,12.0,12.0
43,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,Unknown,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,10,15.0,Specialty Coffee Association,2015-01-01,2015-06-10,"Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,Green,0,2016-06-09,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1000.0,1000.0,1000.0
44,Arabica,jungle estate,Kenya,jungle estate,Unknown,nkg coffee mills,NIL,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60.0,Kenya Coffee Traders Association,2014-01-01,2015-01-29,Jungle Estate,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Bluish-Green,2,2016-01-29,Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1754.0,1754.0,1754.0
45,Arabica,nucoffee,Brazil,fazenda kaquend,Unknown,Unknown,002/1251/0071,nucoffee,1250m,south of minas,Ralph Junqueira,7,60.0,NUCOFFEE,2011-01-01,2011-12-03,NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Blue-Green,2,2012-12-02,NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0
