Unnamed: 0,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Expiration_Year,Year_Difference,Grading.Year,Grading.Quarter,Grading.Month,Grading.Day,Grading.Weekday,Expiration.Year,Expiration.Quarter,Expiration.Month,Expiration.Day,Expiration.Weekday
21,Arabica,the coffee source inc.,Costa Rica,several,Unknown,cafe altura de san ramon,5-562-0015,the coffee source inc.,1830.9876708757638,san ramon,SEVERAL,250,1.360776,Specialty Coffee Association,2014.0,2014-04-02,The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,Green,2,2015-04-02,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300.0,1300.0,1300.0,2015,1.0,2014,2,4,2,3,2015,2,4,2,4
22,Arabica,roberto licona franco,Mexico,la herradura,Unknown,la herradura,0,Unknown,1830.9876708757638,xalapa,ROBERTO LICONA FRANCO,14,1.0,AMECAFE,2012.0,2012-07-26,ROBERTO LICONA FRANCO,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,2013-07-26,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1320.0,1320.0,1320.0,2013,1.0,2012,3,7,26,4,2013,3,7,26,5
23,Arabica,cqi q coffee sample representative,antioquia,la curva,Unknown,Unknown,unknown,coffee quality institute,1830.9876708757638,antioquia,Silvia Elena Higuita,10,1.0,Almacafé,2014.0,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2112.0,2112.0,2112.0,2016,2.0,2015,1,3,13,5,2016,1,3,12,6
25,Arabica,nucoffee,Brazil,fazenda kaquend,Unknown,Unknown,002/1251/0073,nucoffee,1830.9876708757638,south of minas,Ralph Junqueira,3,60.0,NUCOFFEE,2011.0,2011-12-03,NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,Green,2,2012-12-02,NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0,2012,1.0,2011,4,12,3,6,2012,4,12,2,7
27,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,Unknown,kabum trading company,0,kabum trading company,1830.9876708757638,kapchorwa eastern,Kabum trading company,100,60.0,Uganda Coffee Development Authority,2013.0,2014-06-26,Kabum Trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,Green,1,2015-06-26,Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1950.0,1950.0,1950.0,2015,2.0,2014,2,6,26,4,2015,2,6,26,5
29,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Sumatra Typica,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,1830.9876708757638,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50.0,Specialty Coffee Association,2015.0,2016-05-18,"Lin, Che-Hao Krude 林哲豪",Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,Green,0,2017-05-18,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200.0,1200.0,1200.0,2017,2.0,2016,2,5,18,3,2017,2,5,18,4
32,Arabica,nucoffee,Brazil,fazenda recreio,Unknown,Unknown,002/1251/0068,nucoffee,1830.9876708757638,vale da grama,Homero Texeira de Macedo Junior,29,60.0,NUCOFFEE,2011.0,2011-12-03,NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,Green,2,2012-12-02,NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1300.0,1300.0,1300.0,2012,1.0,2011,4,12,3,6,2012,4,12,2,7
33,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,Unknown,"exclusive coffees s.a,",5818009,exclusive coffees s.a.,1830.9876708757638,west and central valley,Exclusive Coffees S.A.,250,0.907184,Specialty Coffee Association of Costa Rica,2014.622034907094,2015-12-03,Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,Blue-Green,0,2016-12-02,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300.0,1300.0,1300.0,2016,Unknown,2015,4,12,3,4,2016,4,12,2,5
35,Arabica,daniel magu,Kenya,kangunu,Unknown,central kenya coffee mills,0,c dorman ltd,1830.9876708757638,muranga,Kangunu,320,1.0,Kenya Coffee Traders Association,2013.0,2014-05-30,Daniel Magu,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,Blue-Green,1,2015-05-30,Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800.0,1800.0,1800.0,2015,2.0,2014,2,5,30,5,2015,2,5,30,6
36,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,220452,kona pacific farmers cooperative,1830.9876708757638,kona,Unknown,10,45.3592,Specialty Coffee Association,2012.0,2012-04-06,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,Unknown,4,2013-04-06,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1812.3495975560081,1849.6257441955195,1830.9876708757638,2013,1.0,2012,2,4,6,5,2013,2,4,6,6
39,Arabica,cqi q coffee sample representative,antioquia,la primavera,Unknown,Unknown,unknown,coffee quality institute,1830.9876708757638,antioquia,Hugo Sepúlveda Montoya,10,1.0,Almacafé,2014.0,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1941.0,1941.0,1941.0,2016,2.0,2015,1,3,13,5,2016,1,3,12,6
40,Arabica,itdp international,Thailand,co-op #12,Unknown,Unknown,01-011-512,lanna cafe,1830.9876708757638,chiang rai,ITDP,53,1.0,Specialty Coffee Association,2012.0,2012-04-12,ITDP International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,Green,9,2013-04-12,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300.0,1300.0,1300.0,2013,1.0,2012,2,4,12,4,2013,2,4,12,5
43,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,Unknown,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1830.9876708757638,natou county,LIN YEN CHIEN 林言謙,10,15.0,Specialty Coffee Association,2015.0,2015-06-10,"Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,Green,0,2016-06-09,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1000.0,1000.0,1000.0,2016,1.0,2015,2,6,10,3,2016,2,6,9,4
44,Arabica,jungle estate,Kenya,jungle estate,Unknown,nkg coffee mills,NIL,keremara limited,1830.9876708757638,nyeri,JUNGLE ESTATE,12,60.0,Kenya Coffee Traders Association,2014.0,2015-01-29,Jungle Estate,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Bluish-Green,2,2016-01-29,Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1754.0,1754.0,1754.0,2016,2.0,2015,1,1,29,4,2016,1,1,29,5
45,Arabica,nucoffee,Brazil,fazenda kaquend,Unknown,Unknown,002/1251/0071,nucoffee,1830.9876708757638,south of minas,Ralph Junqueira,7,60.0,NUCOFFEE,2011.0,2011-12-03,NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Blue-Green,2,2012-12-02,NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250.0,1250.0,1250.0,2012,1.0,2011,4,12,3,6,2012,4,12,2,7
47,Arabica,lusso lab,Colombia,ecobio colombia,Unknown,Unknown,NONE,lusso coffee lab,1830.9876708757638,tolima,Unknown,1,2.0,Specialty Coffee Association,2013.0,2014-03-20,LUSSO LAB,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,Green,1,2015-03-20,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,900.0,1500.0,1200.0,2015,2.0,2014,1,3,20,4,2015,1,3,20,5
48,Arabica,lusso lab,Kenya,kianjavi,Unknown,Unknown,NONE,lusso coffee lab,1830.9876708757638,kiambu,Unknown,1,1.0,Specialty Coffee Association,2013.0,2014-02-06,LUSSO LAB,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,Green,1,2015-02-06,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1520.0,2200.0,1860.0,2015,2.0,2014,1,2,6,4,2015,1,2,6,5
49,Arabica,afca,Uganda,Unknown,Unknown,Unknown,x,kawacom uganda ltd,1830.9876708757638,"sipi, mt elgon",Kawacom,1,60.0,Africa Fine Coffee Association,2012.0,2012-02-13,AFCA,Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,Blue-Green,0,2013-02-12,Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1400.0,1900.0,1650.0,2013,1.0,2012,1,2,13,1,2013,1,2,12,2
52,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252,beneficio ixchel,11/23/0252,"unex guatemala, s.a.",1830.9876708757638,nuevo oriente,MARGARITA AVILA DE NUYENS,80,69.0,Asociacion Nacional Del Café,2016.0,2016-05-16,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,Green,3,2017-05-16,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1812.3495975560081,1849.6257441955195,1830.9876708757638,2017,1.0,2016,2,5,16,1,2017,2,5,16,2
53,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,Unknown,kawacom,0,kawacom uganda ltd,1830.9876708757638,eastern,Kawacom (U)Ltd,1,60.0,Uganda Coffee Development Authority,2013.0,2014-06-30,Kawacom Uganda LTD,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,Green,0,2015-06-30,Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1400.0,1900.0,1650.0,2015,2.0,2014,2,6,30,1,2015,2,6,30,2
54,Arabica,exportadora de cafe condor s.a,Colombia,Unknown,Unknown,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,1830.9876708757638,huila,Unknown,275,70.0,Almacafé,2013.0,2013-07-26,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0.0,Blue-Green,0,2014-07-26,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800.0,1800.0,1800.0,2014,1.0,2013,3,7,26,5,2014,3,7,26,6
55,Arabica,gonzalo hernandez,Panama,la berlina estate,Baby Geisha Washed,beneficio casa ruiz s.a.,Unknown,ce specialty s.a.,1830.9876708757638,boquete,Plinio Ruiz,37,60.0,Specialty Coffee Association of Costa Rica,2017.0,2017-10-09,Gonzalo Hernandez,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,Bluish-Green,0,2018-10-09,Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1600.0,1600.0,1600.0,2018,1.0,2017,4,10,9,1,2018,4,10,9,2
57,Arabica,juan luis alvarado romero,Guatemala,valparaiso,Unknown,beneficio valparaiso,11/1886/03,sertrasa,1830.9876708757638,acatenango,SERTRASA,150,1.0,Asociacion Nacional Del Café,2012.0,2012-07-03,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,Green,3,2013-07-03,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524.0,1524.0,1524.0,2013,1.0,2012,3,7,3,2,2013,3,7,3,3
58,Arabica,juan luis alvarado romero,Guatemala,finca el limon,Unknown,beneficio serben,11-853-155,unicafe,1830.9876708757638,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1.0,Asociacion Nacional Del Café,2012.0,2012-06-05,Juan Luis Alvarado Romero,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,Bluish-Green,1,2013-06-05,Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1417.32,1417.32,1417.32,2013,1.0,2012,2,6,5,2,2013,2,6,5,3
59,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,320,seid damtew coffee export and plantation,490,seid damtew coffee planation,1830.9876708757638,addis ababa,seid damtew coffee export and plantation,320,19200.0,METAD Agricultural Development plc,2017.0,2017-06-23,SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,None,7,2018-06-23,METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1812.3495975560081,1849.6257441955195,1830.9876708757638,2018,1.0,2017,2,6,23,5,2018,2,6,23,6
62,Arabica,atlantic specialty coffee,El Salvador,el majahual,Unknown,j. hill y cia,09 – 060-24,atlantic specialty coffee,1830.9876708757638,apaneca,Aida Batlle,275,2.0,Specialty Coffee Association,2013.0,2013-03-18,Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,Blue-Green,3,2014-03-18,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1500.0,1500.0,1500.0,2014,1.0,2013,1,3,18,1,2014,1,3,18,2
63,Arabica,lusso lab,El Salvador,finca la esmeralda,Unknown,"aqua caliente, j.j. borja nathan. s.a",Unknown,lusso coffee lab,1830.9876708757638,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1.0,Specialty Coffee Association,2012.0,2013-01-12,LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,None,0,2014-01-12,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300.0,1400.0,1350.0,2014,2.0,2013,1,1,12,6,2014,1,1,12,7
64,Arabica,kona pacific farmers cooperative,United States (Hawaii),Unknown,Unknown,Unknown,220451,kona pacific farmers cooperative,1830.9876708757638,kona,Unknown,8,45.3592,Specialty Coffee Association,2012.0,2012-04-06,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0,0.0,Unknown,1,2013-04-06,Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1812.3495975560081,1849.6257441955195,1830.9876708757638,2013,1.0,2012,2,4,6,5,2013,2,4,6,6
65,Arabica,essencecoffee,Panama,elida estate,Unknown,elida estate,290503,essence coffee,1830.9876708757638,boquete,Lamastus,100,60.0,Blossom Valley International,2014.0,2015-05-23,EssenceCoffee,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,Unknown,2,2016-05-22,Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1680.0,1680.0,1680.0,2016,2.0,2015,2,5,23,6,2016,2,5,22,7
66,Arabica,essencecoffee,Kenya,inoi,Unknown,inoi,3707361715,essence coffee,1830.9876708757638,kirinyaga,Unknown,16,60.0,Blossom Valley International,2014.0,2015-05-23,EssenceCoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,Green,3,2016-05-22,Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1900.0,1900.0,1900.0,2016,2.0,2015,2,5,23,6,2016,2,5,22,7
67,Arabica,assefa belay coffee producer,Ethiopia,Unknown,Unknown,Unknown,2015,assefa belay coffee producer,1830.9876708757638,oromia,Assefa Belay Coffee Producer,320,60.0,METAD Agricultural Development plc,2015.0,2015-03-31,Assefa Belay Coffee Producer,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,Green,7,2016-03-30,METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1800.0,2000.0,1900.0,2016,1.0,2015,1,3,31,2,2016,1,3,30,3
